date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2018-12-31,723.0,51.69,13.98,67.71%,套房,24,3F/18F,1房1廳1衛,N
2018-12-31,1130.0,57.19,19.76,60.27%,套房,14,3F/7F,2房1廳1衛,N
2018-12-30,680.0,35.09,19.37,100.00%,公寓,50,4F/4F,3房2廳1衛,N
2018-12-30,1600.0,42.19,37.95,81.47%,華廈,,4F/7F,4房2廳2衛,N
2018-12-29,1120.0,48.5,23.07,61.38%,住宅大樓,14,10F/12F,2房2廳1衛,N
2018-12-28,1160.0,57.09,20.33,66.55%,華廈,23,4F/5F,4房2廳1衛,N
2018-12-28,150.0,50.09,2.99,,其他,31,1F/7F,,N
2018-12-28,2280.0,62.69,36.35,83.21%,華廈,30,4F/8F,3房2廳2衛,N
2018-12-27,1200.0,0.0,22.43,,透天厝,,A/3F,3房2廳2衛,N
2018-12-26,755.0,30.2,24.96,87.76%,公寓,35,5F/5F,3房2廳1衛,N
2018-12-26,1000.0,36.5,27.4,86.83%,公寓,38,3F/5F,2房1廳1衛,N
2018-12-25,920.0,31.7,29.04,74.61%,公寓,37,3F/5F,3房2廳1衛,N
2018-12-25,1580.0,49.81,31.71,78.71%,公寓,,4F/4F,5房0廳5衛,N
2018-12-24,1300.0,72.38,17.95,54.05%,華廈,2,2F/8F,1房2廳1衛,N
2018-12-23,1090.0,40.31,27.02,88.00%,公寓,,5F/5F,3房2廳1衛,N
2018-12-23,858.0,29.09,29.44,86.39%,公寓,37,4F/5F,2房2廳1衛,N
2018-12-23,938.0,50.59,18.52,60.87%,套房,17,8F/12F,1房1廳1衛,N
2018-12-22,1200.0,41.81,28.71,84.30%,公寓,38,2F/5F,2房1廳1衛,N
2018-12-22,920.0,66.31,13.87,63.41%,套房,14,7F/13F,1房1廳1衛,N
2018-12-22,1820.0,48.69,37.4,54.91%,住宅大樓,20,9F/15F,2房2廳2衛,N
2018-12-20,1339.0,37.41,35.83,86.56%,公寓,37,3F/5F,5房0廳5衛,N
2018-12-20,1508.0,55.91,26.96,100.00%,公寓,44,1F/4F,3房2廳1衛,N
2018-12-19,5380.0,69.81,77.13,52.99%,住宅大樓,3,10F/14F,3房2廳2衛,N
2018-12-19,930.0,33.0,28.16,100.00%,公寓,51,3F/3F,3房1廳1衛,N
2018-12-19,1143.0,40.59,28.16,100.00%,公寓,51,3F/3F,3房1廳1衛,N
2018-12-19,801.0,22.59,35.39,84.59%,公寓,,2F/4F,3房1廳1衛,N
2018-12-19,1550.0,43.91,35.3,79.70%,公寓,,5F/5F,5房4廳2衛,N
2018-12-18,1438.0,45.91,31.32,89.61%,公寓,,3F/5F,3房2廳2衛,N
2018-12-18,625.0,21.7,28.75,80.64%,公寓,,4F/5F,3房2廳2衛,N
2018-12-18,1475.0,56.41,26.15,67.47%,住宅大樓,24,10F/15F,2房2廳1衛,N
2018-12-18,1190.0,48.5,24.53,92.12%,公寓,36,5F/5F,3房1廳1衛,N
2018-12-17,1110.0,43.0,25.79,88.88%,公寓,,2F/4F,3房2廳2衛,N
2018-12-17,1550.0,44.69,34.68,72.06%,住宅大樓,22,1F/12F,3房2廳2衛,N
2018-12-16,820.0,44.0,18.63,85.61%,華廈,24,3F/10F,2房1廳1衛,N
2018-12-16,1180.0,51.09,23.08,65.35%,公寓,21,1F/5F,1房1廳2衛,N
2018-12-15,2385.0,43.81,54.49,53.41%,住宅大樓,8,6F/14F,3房2廳2衛,N
2018-12-15,708.0,29.8,23.73,85.49%,公寓,,4F/4F,3房2廳1衛,N
2018-12-15,1750.0,24.3,72.02,94.50%,公寓,41,"""防空避難室","停車場/5F""",N
2018-12-15,1300.0,41.81,31.09,86.38%,公寓,,4F/5F,3房2廳2衛,N
2018-12-14,1100.0,60.5,18.18,81.84%,套房,23,4F/16F,1房1廳1衛,N
2018-12-14,912.0,32.59,27.96,87.09%,公寓,36,2F/4F,3房2廳2衛,N
2018-12-14,1560.0,41.09,37.92,85.22%,公寓,37,4F/5F,4房2廳2衛,N
2018-12-13,1000.0,33.19,30.14,69.89%,住宅大樓,35,9F/12F,3房2廳1衛,N
2018-12-13,900.0,71.0,12.68,63.40%,華廈,21,10F/10F,1房1廳1衛,N
2018-12-12,1200.0,56.5,21.24,85.93%,公寓,38,5F/5F,2房2廳1衛,N
2018-12-12,1295.0,39.41,32.87,72.42%,華廈,35,6F/7F,3房2廳2衛,N
2018-12-11,900.0,43.5,20.69,100.00%,公寓,45,3F/4F,2房2廳1衛,N
2018-12-11,970.0,33.41,29.04,74.61%,公寓,37,2F/5F,3房2廳2衛,N
2018-12-11,980.0,34.81,28.2,85.20%,公寓,,5F/5F,3房2廳1衛,N
2018-12-10,190.9,16.91,11.28,85.65%,公寓,,2F/4F,3房1廳1衛,N
2018-12-10,1700.0,56.69,29.98,89.91%,公寓,38,1F/5F,3房2廳2衛,N
2018-12-09,1330.0,39.41,33.8,75.32%,公寓,35,4F/5F,3房2廳2衛,N
2018-12-09,1200.0,31.7,37.86,79.78%,公寓,34,3F/5F,3房2廳2衛,N
2018-12-09,1200.0,32.19,37.27,71.60%,公寓,37,3F/5F,3房2廳2衛,N
2018-12-09,1200.0,65.19,18.4,54.31%,套房,2,3F/8F,1房1廳1衛,N
2018-12-09,1278.0,54.81,23.34,83.01%,公寓,49,3F/4F,3房2廳1衛,N
2018-12-08,985.0,42.09,23.41,94.77%,公寓,49,3F/4F,3房2廳1衛,N
2018-12-08,1110.0,34.69,31.97,71.64%,華廈,35,1F/7F,2房1廳1衛,N
2018-12-07,1420.0,34.0,41.76,79.72%,公寓,31,2F/4F,3房2廳2衛,N
2018-12-07,1018.0,51.5,19.75,54.08%,套房,2,3F/7F,1房1廳1衛,N
2018-12-07,2800.0,111.62,25.09,,店面（店舖),,1F/10F,,N
2018-12-07,730.0,66.0,11.07,57.58%,套房,10,6F/7F,0房1廳1衛,N
2018-12-07,1180.0,51.09,23.07,69.42%,住宅大樓,20,4F/13F,2房2廳1衛,N
2018-12-06,960.0,45.0,21.34,100.00%,公寓,50,3F/4F,3房2廳2衛,N
2018-12-05,780.0,13.5,65.42,52.38%,住宅大樓,5,10F/11F,3房2廳2衛,N
2018-12-05,505.0,42.59,11.86,59.31%,套房,24,4F/5F,1房1廳1衛,N
2018-12-05,530.0,57.81,9.17,54.22%,套房,8,3F/10F,1房1廳1衛,N
2018-12-04,1500.0,50.59,29.63,70.10%,住宅大樓,19,12F/18F,3房1廳2衛,N
2018-12-04,570.0,19.59,29.02,91.82%,公寓,,3F/4F,3房1廳1衛,N
2018-12-04,750.0,26.2,28.61,94.03%,公寓,,2F/5F,3房1廳2衛,N
2018-12-04,1660.0,46.5,35.67,82.53%,住宅大樓,28,6F/13F,3房2廳2衛,N
2018-12-04,400.0,21.91,18.23,82.07%,公寓,31,3F/5F,3房2廳2衛,N
2018-12-04,1250.0,39.41,31.73,86.77%,公寓,,4F/5F,3房2廳2衛,N
2018-12-03,1320.0,38.81,34.06,75.45%,公寓,37,1F/5F,3房2廳2衛,N
2018-12-03,1500.0,69.81,21.5,100.00%,公寓,,1F/4F,3房2廳1衛,N
2018-12-02,1138.0,55.0,20.7,66.04%,住宅大樓,25,2F/12F,2房2廳1衛,N
2018-12-01,2000.0,48.59,41.17,72.93%,華廈,35,3F/7F,4房2廳2衛,N
2018-12-01,860.0,32.69,26.33,100.00%,公寓,,3F/4F,3房2廳1衛,N
2018-12-01,1188.0,36.31,32.7,84.56%,公寓,,3F/4F,3房2廳2衛,N
2018-11-30,501.9,36.09,13.92,68.56%,套房,35,3F/7F,1房1廳1衛,N
2018-11-30,855.0,37.31,22.89,65.38%,住宅大樓,22,16F/17F,2房2廳1衛,N
2018-11-30,1180.0,42.0,28.06,83.29%,公寓,,3F/4F,4房1廳4衛,N
2018-11-29,1010.6,32.59,31.04,84.92%,公寓,34,2F/5F,3房1廳1衛,N
2018-11-29,530.0,44.81,11.84,65.20%,套房,24,3F/9F,1房1廳1衛,N
2018-11-28,1380.0,51.09,27.0,77.72%,公寓,41,2F/5F,3房2廳1衛,N
2018-11-27,480.0,17.3,27.81,67.17%,華廈,18,3F/10F,3房2廳2衛,N
2018-11-26,1700.0,52.5,32.38,85.64%,公寓,29,5F/5F,3房2廳2衛,N
2018-11-26,720.0,30.59,23.53,89.77%,公寓,38,2F/5F,2房1廳1衛,N
2018-11-25,1540.0,44.31,34.79,59.51%,住宅大樓,24,4F/14F,3房2廳2衛,N
2018-11-25,1750.0,49.31,35.49,65.33%,華廈,12,5F/10F,3房2廳2衛,N
2018-11-25,1898.0,58.0,32.75,70.88%,住宅大樓,25,9F/12F,3房2廳2衛,N
2018-11-25,1480.0,40.0,36.97,65.02%,公寓,37,3F/5F,3房2廳2衛,N
2018-11-24,3450.0,63.81,54.1,52.59%,住宅大樓,,2F/15F,4房2廳2衛,N
2018-11-24,1847.0,53.0,34.85,65.40%,住宅大樓,15,11F/14F,3房2廳2衛,N
2018-11-23,570.0,34.31,16.6,71.57%,套房,24,地下1F/6F,1房1廳1衛,N
2018-11-23,625.0,30.0,20.85,94.78%,公寓,,4F/5F,2房2廳1衛,N
2018-11-22,560.0,27.3,20.49,93.80%,公寓,40,3F/5F,3房2廳1衛,N
2018-11-22,1450.0,49.19,29.46,74.29%,公寓,34,1F/5F,4房2廳2衛,N
2018-11-21,1200.0,34.59,34.65,70.27%,住宅大樓,22,8F/17F,3房2廳2衛,N
2018-11-19,980.0,28.2,34.76,62.88%,公寓,35,4F/5F,3房1廳2衛,N
2018-11-19,980.0,33.0,29.7,67.08%,公寓,35,3F/5F,3房2廳2衛,N
2018-11-18,998.0,49.81,20.05,67.23%,住宅大樓,24,16F/18F,2房2廳1衛,N
2018-11-18,805.0,32.19,25.03,74.07%,公寓,35,3F/5F,3房2廳2衛,N
2018-11-18,1050.0,39.69,26.44,74.59%,公寓,,4F/5F,3房2廳1衛,N
2018-11-18,1375.0,46.81,29.4,87.51%,公寓,,4F/4F,2房2廳2衛,N
2018-11-18,1750.0,46.19,37.86,86.75%,公寓,33,3F/5F,4房2廳2衛,N
2018-11-17,680.0,59.0,11.52,54.08%,套房,9,7F/15F,1房1廳1衛,N
