date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2016-10-31,500.0,27.41,18.28,64.17%,套房,25,3F/11F,1房0廳1衛,N
2016-10-31,880.0,33.41,26.31,75.54%,住宅大樓,22,6F/12F,3房2廳2衛,N
2016-10-31,1520.0,25.0,60.88,,廠辦,37,4F/5F,5房1廳2衛,N
2016-10-31,728.0,32.31,22.55,82.84%,公寓,36,3F/5F,3房0廳3衛,N
2016-10-31,3688.0,0.0,77.71,,透天厝,33,A/2F,4房3廳3衛,N
2016-10-30,180.0,9.4,19.16,,套房,35,5F/7F,1房1廳1衛,N
2016-10-30,970.0,40.5,23.96,85.32%,公寓,40,2F/4F,3房2廳1衛,N
2016-10-30,630.0,49.69,12.69,69.48%,套房,19,6F/22F,,N
2016-10-30,1235.0,48.31,25.56,70.84%,住宅大樓,15,14F/14F,2房2廳1衛,N
2016-10-30,1530.0,48.0,31.86,60.92%,住宅大樓,13,6F/14F,3房2廳2衛,N
2016-10-30,2050.0,44.91,45.65,74.41%,華廈,28,5F/6F,3房2廳2衛,N
2016-10-29,1100.0,37.09,29.64,62.08%,住宅大樓,17,9F/18F,4房2廳2衛,N
2016-10-29,4898.0,33.0,148.43,,廠辦,28,5F/5F,,N
2016-10-29,1580.0,61.09,25.84,55.39%,住宅大樓,8,14F/15F,2房2廳1衛,N
2016-10-29,692.0,20.59,33.55,91.75%,公寓,29,4F/5F,3房2廳2衛,N
2016-10-29,930.0,33.91,27.46,59.03%,華廈,1,2F/4F,2房1廳1衛,N
2016-10-29,1050.0,62.09,16.91,54.90%,住宅大樓,,11F/14F,2房1廳1衛,N
2016-10-29,830.0,31.41,26.4,86.54%,公寓,38,5F/5F,2房2廳1衛,N
2016-10-29,500.0,14.4,34.78,91.40%,公寓,29,5F/5F,3房2廳2衛,N
2016-10-29,500.0,14.3,34.98,91.22%,公寓,29,5F/5F,3房2廳2衛,N
2016-10-29,790.0,33.69,23.45,62.11%,住宅大樓,1,2F/12F,2房1廳1衛,N
2016-10-28,1900.0,30.0,63.42,62.40%,住宅大樓,21,9F/19F,3房1廳2衛,N
2016-10-28,550.0,19.09,28.84,87.87%,公寓,32,5F/5F,3房2廳2衛,N
2016-10-28,2168.0,43.91,49.37,86.93%,華廈,28,4F/6F,4房2廳2衛,N
2016-10-28,1800.0,49.5,36.39,60.26%,住宅大樓,3,7F/23F,2房2廳1衛,N
2016-10-27,780.0,0.0,29.25,,透天厝,34,A/2F,3房2廳2衛,N
2016-10-27,580.0,28.41,20.44,83.84%,公寓,37,2F/4F,3房2廳1衛,N
2016-10-26,1150.0,39.5,29.11,84.34%,公寓,38,3F/5F,3房2廳2衛,N
2016-10-26,1300.0,33.31,39.01,47.78%,住宅大樓,17,2F/23F,2房2廳2衛,N
2016-10-25,906.0,29.7,30.51,88.11%,公寓,35,3F/5F,3房2廳2衛,N
2016-10-25,818.0,38.41,21.31,73.57%,華廈,20,6F/7F,2房1廳1衛,N
2016-10-25,1040.0,34.0,30.63,82.22%,公寓,42,4F/4F,4房2廳2衛,N
2016-10-25,780.0,23.09,33.77,91.43%,公寓,34,4F/5F,3房2廳2衛,N
2016-10-25,2077.0,0.0,31.79,,透天厝,33,A/2F,5房3廳3衛,N
2016-10-25,370.0,24.2,15.29,83.36%,住宅大樓,22,10F/12F,3房2廳2衛,N
