"買賣案件:臺北市文山區房地(土地+建物),建物,104 年 1 月 至104 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
指南路三段２６號５樓之２,政大威秀,104/12/31,600,46.1,13.01,57.41%,套房(1房(1廳)1衛),8,五層/十層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
景隆街１９巷３號三樓,,104/12/31,1350,51.1,26.39,85.47%,公寓(5樓含以下無電梯),,三層/五層,房地(土地+建物),土:3 建:1車:0,2房2廳2衛,,無,無,住家用,,,
景豐街２巷６號４樓,,104/12/31,671,24.8,27.01,100.00%,公寓(5樓含以下無電梯),44,四層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
辛亥路四段７７巷３號五樓,,104/12/31,1215,44.9,27.07,64.13%,住宅大樓(11層含以上有電梯),19,五層/十三層,房地(土地+建物),土:4 建:1車:0,2房2廳1衛,,有,無,住家用,,,
辛亥路五段１１８巷１０號,,104/12/31,294.4,0,6.03,,透天厝,,全/二層,房地(土地+建物),土:1 建:1車:0,2房1廳2衛,,無,無,住家用,二親等買賣親友、員工或其他特殊關係間之交易。;,,
忠順街１段２６巷３０弄１０號３樓,,104/12/31,600,25.3,23.75,75.82%,華廈(10層含以下有電梯),20,"三層,電梯樓梯間/六層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
興隆路二段２２０巷６５弄１７號３樓,,104/12/31,1210,43.7,27.7,86.27%,公寓(5樓含以下無電梯),36,三層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
興隆路三段１８１巷３弄３號,,104/12/30,1600,68.3,23.42,100.00%,公寓(5樓含以下無電梯),,一層/三層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
木柵路四段１５９巷１９０號五樓,,104/12/30,204.9,6.8,29.92,85.77%,公寓(5樓含以下無電梯),,五層/五層,房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,無,無,住家用,1.權利人有二人。 2.本案為二親等間買賣。親友、員工或其他特殊關係間之交易。;,,
興隆路二段２５２號１４樓之５,花開並蒂,104/12/30,1550,57.9,26.76,67.39%,住宅大樓(11層含以上有電梯),21,十四層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
景興路９６巷４０號３樓,,104/12/30,770,24,32.07,100.00%,公寓(5樓含以下無電梯),48,"三層,露台/四層",房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,1.5衛 親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
