"買賣案件:新北市新店區房地(土地+建物),建物,105 年 1 月 至105 年 10 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
安德街７１巷３４號３樓之２,浪漫貴族,105/10/31,500,27.4,18.28,64.17%,套房(1房(1廳)1衛),25,三層/十一層,房地(土地+建物),土:1 建:1車:0,1房0廳1衛,,有,無,住家用,內含獨立產權公設，未包含在棟數內。,,
安德街１１６巷２６弄５號六樓,台北舊金山捷運年代,105/10/31,880,33.4,26.31,75.54%,住宅大樓(11層含以上有電梯),22,六層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
寶興路３９號四樓,,105/10/31,1520,25,60.88,,廠辦,37,四層/五層,房地(土地+建物),土:1 建:1車:0,5房1廳2衛,,無,無,工業用,,,
復興路１巷１０號３樓,,105/10/31,728,32.3,22.55,82.84%,公寓(5樓含以下無電梯),36,三層/五層,房地(土地+建物),土:2 建:1車:0,3房0廳3衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
華城一路７號,,105/10/31,3688,0,77.71,,透天厝,33,全/二層,房地(土地+建物),土:1 建:1車:0,4房3廳3衛,,無,無,住家用,,,
松林路３０－１０號五樓,,105/10/30,180,9.4,19.16,,套房(1房(1廳)1衛),35,五層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,,,
明德路６７巷１０號二樓,,105/10/30,970,40.5,23.96,85.32%,公寓(5樓含以下無電梯),40,二層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,,,
中興路一段２６６之１號１６樓,春池吉品,105/10/30,630,49.7,12.69,69.48%,套房(1房(1廳)1衛),19,十六層/二十二層,房地(土地+建物),土:1 建:1車:0,,,有,無,住家用,,,
中正路３５２號１４樓之１,康和儷舍,105/10/30,1235,48.3,25.56,70.84%,住宅大樓(11層含以上有電梯),15,十四層/十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
溪園路３１３號６樓,湯泉美地,105/10/30,1530,48,31.86,60.92%,住宅大樓(11層含以上有電梯),13,六層/十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
民權路５７號５樓,啟昇凱撒皇家,105/10/30,2050,44.9,45.65,74.41%,華廈(10層含以下有電梯),28,五層/六層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
碧潭路７７巷６號九樓,海悅假期,105/10/29,1100,37.1,29.64,62.08%,住宅大樓(11層含以上有電梯),17,九層/十八層,房地(土地+建物),土:6 建:1車:0,4房2廳2衛,,有,無,住家用,,,
中正路５０１－２１號五樓,吉成特區(A),105/10/29,4898,33,148.43,,廠辦,28,五層/五層,房地(土地+建物),土:1 建:1車:0,,,有,無,工業用,,,
建國路２１８之２號１４樓,三輝墨寶,105/10/29,1580,61.1,25.84,55.39%,住宅大樓(11層含以上有電梯),8,十四層/十五層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
安德街１４８巷７號四樓,,105/10/29,692,20.6,33.55,91.75%,公寓(5樓含以下無電梯),29,四層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,,,
安康路一段１７１號二樓之２,水美安康,105/10/29,930,33.9,27.46,59.03%,華廈(10層含以下有電梯),1,二層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,,,
